Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
1,1,1230,108.091056910569,108.844715447154,43.5551922765337,36.8280657392961,0.533897227298587,-55.7663504956769,1314,1230,39.5737872843155,0.936073059360731,0.714285714285714,135.45,143.195959492893,129.826,50.1127128601074,16.2788200378418,8.48528099060059,109,110
2,1,1205,111.354356846473,112.848132780083,43.0535389774185,36.2541398622744,0.539366576772806,-70.5473266077811,1270,1205,39.1695500536561,0.948818897637795,0.723723723723724,134.746,143.053823869162,126.584,50.4558525085449,16.1245155334473,7.6568546295166,112,112
3,1,1238,113.421647819063,117.165589660743,43.4559904465523,36.7413435544235,0.534000793509833,-76.8499718372142,1316,1238,39.7022739447268,0.940729483282675,0.719767441860465,140.222,148.02438661764,127.725,49.2842826843262,16.1245155334473,6.6568546295166,113,116
4,1,1534,108.185136897001,112.153846153846,64.3805225112881,31.8996348800794,0.868616036716292,-55.6949235255958,1775,1534,44.1944505749731,0.864225352112676,0.515456989247312,185.816,195.480230740355,164.587,74.0832901000977,14.8660688400269,28.1421337127686,113,117
5,1,1453,113.823812801101,123.355815554026,56.246382305808,35.7121841775594,0.772574511383615,-68.847417191132,1743,1453,43.0118246357928,0.833620195065978,0.621737270004279,180.44,191.480230740355,155.206,68.7695770263672,15.8113880157471,26.5563468933105,113,118
6,1,1314,115.127092846271,122.094368340944,51.8678519177608,34.1571828124861,0.752543572147017,-70.839432525156,1497,1314,40.9027720549843,0.877755511022044,0.608333333333333,163.18,172.752308678997,144.216,62.9411392211914,15.65247631073,21.3137073516846,115,120
7,1,1502,115.689747003995,122.71171770972,64.9756354280553,30.6769321981191,0.881529054905768,-66.8644033416267,1724,1502,43.7310621434263,0.87122969837587,0.567649281934996,196.104,208.208152801713,162.08,75.3553619384766,14.8660688400269,32.4852828979492,115,120
8,1,1388,116.196685878963,125.263688760807,56.65831876203,32.2776690292867,0.821859766971654,-65.5287666695413,1582,1388,42.0387498397895,0.877370417193426,0.635531135531135,182.714,192.994949366117,149.749,70.5980072021484,14.8660688400269,28.1421337127686,116,124
9,1,1464,112.43306010929,117.31693989071,60.7530270257191,32.4099859790497,0.845818274479749,-54.4505645512194,1754,1464,43.1743291029783,0.834663625997719,0.503611971104231,190.894,201.137084989848,161.336,74.8406372070312,14.4222049713135,28.7279205322266,114,119
10,1,1251,117.257394084732,126.79376498801,46.4864910290275,35.0284943215493,0.657425141774212,-58.8844157276504,1374,1251,39.9101825410971,0.910480349344978,0.712820512820513,152.064,160.953318805774,133.638,55.183780670166,15.65247631073,11.8994941711426,117,127
11,1,1317,116.902050113895,127.655277145027,52.6175647779545,33.1201634788008,0.777040413606661,-64.4918114458208,1473,1317,40.9494380964649,0.894093686354379,0.645588235294118,165.537,175.580735803744,139.8,63.1127166748047,15.2643375396729,19.8994941711426,116,125
12,1,1182,114.264805414552,122.302876480541,42.9199181954438,35.5935158418527,0.558802684532122,-62.8368776769514,1266,1182,38.7939317661533,0.933649289099526,0.723378212974296,137.211,145.539105243401,126.294,49.5269203186035,16.1245155334473,7.24264097213745,115,123
13,1,1146,114.302792321117,121.732111692845,43.4836484694319,34.0616741673932,0.621616859881005,-69.2177534478961,1218,1146,38.1985931451212,0.940886699507389,0.74031007751938,134.275,141.882250993908,124.4,50.1127090454102,15.65247631073,10.4852809906006,115,123
14,1,1292,116.96826625387,126.28560371517,48.6125389358791,34.8018619709541,0.698199762996571,-61.2791293906892,1432,1292,40.5589138389803,0.902234636871508,0.633333333333333,158.789,167.580735803744,138.724,63.6985015869141,16,18.0710678100586,116,124
15,1,1186,116.758853288364,124.119730185497,42.4310446662301,35.9541632529679,0.531026636153594,-47.4908798709545,1249,1186,38.8595174964371,0.949559647718175,0.70553242117787,131.215,139.296464556282,124.566,48.1127090454102,16.1554946899414,5.24264097213745,117,124
16,1,1248,117.126602564103,127.223557692308,44.8526867240155,36.5027344782568,0.581094522795431,-52.2443457227376,1375,1248,39.862299881335,0.907636363636364,0.760975609756098,152.279,161.78174593052,133.48,57.183780670166,17,14.8994941711426,117,126
17,1,1230,117.065040650407,127.547967479675,44.764279363417,35.6604059220659,0.604472006917986,-50.8956323220013,1318,1230,39.5737872843155,0.933232169954476,0.73345259391771,152.09,159.681240867132,130.462,55.01220703125,16.2788200378418,19.8994941711426,116,126
18,1,1322,116.02950075643,126.334341906203,46.5916803830379,37.4489578065247,0.594941231010571,-40.0277462898613,1514,1322,41.0270968768189,0.873183619550859,0.62594696969697,169.673,178.894444302728,141.04,59.8700714111328,16.2788200378418,14.3137073516846,115,125
19,1,1248,115.370993589744,129.003205128205,43.9815030997144,37.3864354231142,0.526703515685628,-63.4697083760013,1413,1248,39.862299881335,0.883227176220807,0.69179600886918,156.159,164.752308678997,134.3,56.9411430358887,16.1554946899414,13.7279205322266,115,127
