frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.000000000000000000e+00 1.000000000000000000e+00 1.090000000000000000e+02 1.100000000000000000e+02 3.303379960834875589e-02 3.688932641044760478e-04 9.234373982462907859e-01 4.315990888125614128e-02
2.000000000000000000e+00 1.000000000000000000e+00 1.120000000000000000e+02 1.120000000000000000e+02 9.327951605083689007e-03 4.221712379604212860e-05 9.795159784099967126e-01 1.111385286112370752e-02
3.000000000000000000e+00 1.000000000000000000e+00 1.130000000000000000e+02 1.160000000000000000e+02 8.459426592250622601e-03 2.148595691906439895e-05 9.821173766397709448e-01 9.401710811059385206e-03
4.000000000000000000e+00 1.000000000000000000e+00 1.130000000000000000e+02 1.170000000000000000e+02 3.416285685380610060e-02 6.562855892002812793e-04 3.208403964117843149e-02 9.330968179158150022e-01
5.000000000000000000e+00 1.000000000000000000e+00 1.130000000000000000e+02 1.180000000000000000e+02 5.389566136583524569e-01 3.252927013384383629e-04 6.942411878718269050e-03 4.537756817615909988e-01
6.000000000000000000e+00 1.000000000000000000e+00 1.150000000000000000e+02 1.200000000000000000e+02 5.494154066703561545e-01 1.700818152894069358e-04 9.163545274092184389e-02 3.587790587734324133e-01
7.000000000000000000e+00 1.000000000000000000e+00 1.150000000000000000e+02 1.200000000000000000e+02 9.564575935153767083e-02 7.768929025183368350e-03 1.314805995828228213e-01 7.651047120404563806e-01
8.000000000000000000e+00 1.000000000000000000e+00 1.160000000000000000e+02 1.240000000000000000e+02 2.734815923769881585e-01 5.321828025901005101e-03 1.370191671468175276e-01 5.841774124502934207e-01
9.000000000000000000e+00 1.000000000000000000e+00 1.140000000000000000e+02 1.190000000000000000e+02 1.654880858338835525e-01 7.206535379016665950e-04 1.398082124460936840e-02 8.198104393836052051e-01
1.000000000000000000e+01 1.000000000000000000e+00 1.170000000000000000e+02 1.270000000000000000e+02 1.122535615289548261e-01 1.074246071832712576e-03 6.264584180199909147e-01 2.602137743792213853e-01
1.100000000000000000e+01 1.000000000000000000e+00 1.160000000000000000e+02 1.250000000000000000e+02 4.223272508417361126e-01 3.480250951070397621e-03 4.214495176393348586e-01 1.527429805678587604e-01
1.200000000000000000e+01 1.000000000000000000e+00 1.150000000000000000e+02 1.230000000000000000e+02 2.349866844910370942e-02 5.164397591931985077e-05 9.585935198310865379e-01 1.785616774389047964e-02
1.300000000000000000e+01 1.000000000000000000e+00 1.150000000000000000e+02 1.230000000000000000e+02 2.107892042992697695e-02 6.156471515370652678e-05 9.597326672161531347e-01 1.912684763876637550e-02
1.400000000000000000e+01 1.000000000000000000e+00 1.160000000000000000e+02 1.240000000000000000e+02 4.867525195847982600e-01 5.989349484226775579e-03 3.258257143897090868e-01 1.814324165412656842e-01
1.500000000000000000e+01 1.000000000000000000e+00 1.170000000000000000e+02 1.240000000000000000e+02 5.751061913757944330e-03 1.444539004694566602e-05 9.912710589786676296e-01 2.963433717527437766e-03
1.600000000000000000e+01 1.000000000000000000e+00 1.170000000000000000e+02 1.260000000000000000e+02 4.687609308040583400e-01 5.408819309858894225e-03 4.057791578446732217e-01 1.200510920414093879e-01
1.700000000000000000e+01 1.000000000000000000e+00 1.160000000000000000e+02 1.260000000000000000e+02 6.198087889425884373e-02 3.334952613868202333e-04 8.934167673033562851e-01 4.426885854099796291e-02
1.800000000000000000e+01 1.000000000000000000e+00 1.150000000000000000e+02 1.250000000000000000e+02 5.863966155484753306e-01 3.800301441632718963e-03 1.515147328172088137e-01 2.582883501926829806e-01
1.900000000000000000e+01 1.000000000000000000e+00 1.150000000000000000e+02 1.270000000000000000e+02 5.859320848750179112e-01 5.119769276350574078e-03 2.665249330504978476e-01 1.424232127981336915e-01
2.000000000000000000e+01 1.000000000000000000e+00 1.140000000000000000e+02 1.280000000000000000e+02 6.873707090824089372e-01 2.192840156215437007e-03 1.067199633260232233e-01 2.037164874353523114e-01
2.100000000000000000e+01 1.000000000000000000e+00 1.160000000000000000e+02 1.250000000000000000e+02 5.324123792052178235e-03 1.108415346962211456e-05 9.914686891571941052e-01 3.196102897283921353e-03
2.200000000000000000e+01 1.000000000000000000e+00 1.130000000000000000e+02 1.240000000000000000e+02 2.384371166718876264e-03 7.042197646919474837e-06 9.965027989695445232e-01 1.105787666089730467e-03
2.300000000000000000e+01 1.000000000000000000e+00 1.180000000000000000e+02 1.250000000000000000e+02 4.711384505166814514e-03 8.775878983668677252e-06 9.940982049505824314e-01 1.181634665267260317e-03
2.400000000000000000e+01 1.000000000000000000e+00 1.160000000000000000e+02 1.250000000000000000e+02 6.785519660751149380e-03 1.981346079407199186e-05 9.907248016281084979e-01 2.469865250346243209e-03
2.500000000000000000e+01 1.000000000000000000e+00 1.180000000000000000e+02 1.230000000000000000e+02 3.867481017696229335e-03 1.021433028780915792e-05 9.951444407502345602e-01 9.778639017816678249e-04
2.600000000000000000e+01 1.000000000000000000e+00 1.170000000000000000e+02 1.220000000000000000e+02 1.394278021374633497e-02 1.641150701934379253e-05 9.842285423816231615e-01 1.812265897611134045e-03
2.700000000000000000e+01 1.000000000000000000e+00 1.150000000000000000e+02 1.220000000000000000e+02 4.719643931022997341e-03 4.961888308745696705e-06 9.947486131022821310e-01 5.267810783862464244e-04
2.800000000000000000e+01 1.000000000000000000e+00 1.140000000000000000e+02 1.210000000000000000e+02 4.936724255458192767e-03 4.536595650085284361e-06 9.944224288507408360e-01 6.363102981509668717e-04
2.900000000000000000e+01 1.000000000000000000e+00 1.150000000000000000e+02 1.250000000000000000e+02 2.432120453741003826e-03 1.012698045222541369e-05 9.970867912141810896e-01 4.709613516255500669e-04
3.000000000000000000e+01 1.000000000000000000e+00 1.170000000000000000e+02 1.240000000000000000e+02 3.378617054918422232e-03 7.809844223980511971e-06 9.953324139770478585e-01 1.281159123809705574e-03
3.100000000000000000e+01 1.000000000000000000e+00 1.130000000000000000e+02 1.230000000000000000e+02 1.098437045153554704e-02 5.017124095760851210e-05 9.859453495981703730e-01 3.020108709336358395e-03
3.200000000000000000e+01 1.000000000000000000e+00 1.170000000000000000e+02 1.220000000000000000e+02 9.444875692420093630e-03 1.394922988235210479e-05 9.891994436944619995e-01 1.341731383235672884e-03
