frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.000000000000000000e+00 1.000000000000000000e+00 3.235925058548010043e+02 1.125531081400270068e+02 2.795974660625555092e-07 9.993970126766642537e-01 2.008559357551760469e-07 6.025068699339944638e-04
2.000000000000000000e+00 1.000000000000000000e+00 3.199855612482530205e+02 1.291356996169160141e+02 5.361475768285570029e-08 9.996613293604159622e-01 8.531082607423303925e-07 3.377639165655571063e-04
3.000000000000000000e+00 1.000000000000000000e+00 3.207620320855609748e+02 1.401802275533250111e+02 1.297943458364161803e-10 9.999910346278992890e-01 6.769518353931883757e-06 2.195723952264697438e-06
4.000000000000000000e+00 1.000000000000000000e+00 3.183588450962420211e+02 1.432663058990210061e+02 9.687344758423943699e-09 9.999442798642416141e-01 5.559332933984470357e-05 1.171190735712815481e-07
5.000000000000000000e+00 1.000000000000000000e+00 3.195787259615379980e+02 1.021288173707930014e+02 2.724928066324580725e-05 9.114988054355986913e-01 2.743480392354741542e-03 8.573046489138357040e-02
6.000000000000000000e+00 1.000000000000000000e+00 3.236350662589189824e+02 1.112685540121649979e+02 6.453667561027496657e-05 9.889551060989512088e-01 3.837632403537023865e-05 1.094198090140315917e-02
7.000000000000000000e+00 1.000000000000000000e+00 3.297030669144979811e+02 1.259245059022420037e+02 9.409740562089281778e-07 9.985891127982847726e-01 1.894147664454898939e-06 1.408052079994553431e-03
8.000000000000000000e+00 1.000000000000000000e+00 3.271385690789470004e+02 1.318456219023449876e+02 1.777685760391384695e-14 9.999998634283805421e-01 3.656564238677883130e-08 1.000059591580115999e-07
9.000000000000000000e+00 1.000000000000000000e+00 3.208742632612970169e+02 7.744140438351040245e+01 2.673659722466769782e-04 9.772673997077079289e-01 1.524025498236142588e-04 2.231283177022186370e-02
1.000000000000000000e+01 1.000000000000000000e+00 3.222641909814320229e+02 8.712567646251659426e+01 3.121925529347386458e-03 7.854670153476661643e-02 7.684757794125067314e-03 9.106466151417610400e-01
