Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
1,1,1657,269.369342184671,415.942063971032,89.898371687155,24.9023151864563,0.960868423265914,61.7004163206277,1923,1657,45.9321012542009,0.861674466978679,0.382237600922722,220.344,233.521861300698,202.687,101.568588256836,11.1803398132324,44.2842750549316,275,408
2,1,1299,276.792147806005,405.118552732871,64.645487356532,26.1242111665993,0.914708186380204,53.4346127019969,1425,1299,40.6686386372961,0.911578947368421,0.527191558441558,160.029,170.166522241371,149.965,69.0832824707031,12.0415945053101,30.3137054443359,275,407
3,1,1414,277.905940594059,405.231966053748,60.1941332422506,31.9291929160871,0.847724385499572,73.732729712052,1619,1414,42.4306577400766,0.873378628783199,0.639819004524887,173.51,181.580735803744,156.232,69.6985015869141,14.0356683731079,29.3137073516846,278,402
4,1,1380,274.848550724638,404.019565217391,50.5452713838493,39.5792668940467,0.621963936200879,-87.9029480047759,1779,1380,41.9174256334347,0.775716694772344,0.53384912959381,194.492,205.036579926459,157.688,68.7695693969727,14.1421356201172,19.8994941711426,275,401
5,1,1728,273.79224537037,406.828125,72.0085435319927,44.119523300903,0.790316774715639,76.7162555971864,2902,1728,46.9058411426803,0.595451412818746,0.352869103532775,265.399,281.178715550191,215.678,94.0122222900391,13.0384044647217,35.3137092590332,273,403
6,1,2039,269.762628739578,410.477194703286,76.9590948571629,50.1117349456431,0.75895106421706,62.4243168823692,3479,2039,50.9522858340526,0.586087956309284,0.380765639589169,308.952,326.090403795622,229.606,101.497512817383,14.4222049713135,41.870059967041,272,405
7,1,2027,269.96694622595,414.482979773064,79.6313593089247,42.120780315154,0.848654768277926,60.2018300239878,2941,2027,50.8021314235749,0.689221353281197,0.415368852459016,301.186,318.43354954613,212.091,99.598014831543,14.4222049713135,46.041633605957,271,406
8,1,2035,265.300737100737,417.578378378378,101.858534009505,33.7218080849458,0.943607908174161,65.80908996833,3258,2035,50.9022835787949,0.624616329036219,0.360687699397377,310.151,327.261976670876,236.502,115.740158081055,13.6014709472656,65.355354309082,269,404
9,1,1969,263.276282376841,427.390045708481,113.338480312041,25.1172641293515,0.975134730582387,65.4063639854103,2598,1969,50.0700375832047,0.757890685142417,0.347572815533981,279.782,295.80613254816,238.918,120.225448608398,12,81.8406524658203,272,406
10,1,2137,261.30229293402,431.922321010763,123.746851160967,25.6975106849593,0.9782006544366,64.254320146839,3195,2137,52.162370604671,0.668857589984351,0.286537945829981,339.659,358.81832585698,271.163,138.124938964844,11.3137083053589,86.9117202758789,272,407
11,1,2443,261.502660663119,437.131805157593,125.322645413914,34.9281838891276,0.960376446023823,63.4357522899432,4007,2443,55.7720737268035,0.609683054654355,0.288497874350496,385.269,407.44574285495,289.35,144.024444580078,11.0453605651855,104.639656066895,270,414
12,1,2551,260.221089768718,442.791062328499,120.266691963841,42.2036503263933,0.936406493725723,56.997055576633,4085,2551,56.9915263755885,0.624479804161567,0.29525462962963,394.688,417.788888605458,289.459,140.610229492188,12,74.9117126464844,270,431
13,1,2648,260.902190332326,439.015483383686,131.039943163708,50.1986161651984,0.923715692107985,59.8394414217475,5144,2648,58.0649491040741,0.514774494556765,0.276524644945698,430.837,456.173664916308,315.664,152.095520019531,11.0453605651855,81.3970031738281,270,429
14,1,2691,258.449275362319,442.646971386102,139.615333297368,49.8149368414332,0.934180287589969,52.3888423026572,5587,2691,58.5344993562115,0.481653839269733,0.21452487244898,479.939,507.913780286486,349.492,175.237686157227,12.3693170547485,103.539154052734,271,428
15,1,2615,256.886806883365,443.915105162524,145.036385603461,52.1035746686579,0.933243343058002,51.4700307207379,5981,2615,57.7020052466329,0.437217856545728,0.185777209434498,483.454,510.499566724113,369.489,185.551406860352,12.0830459594727,125.681304931641,271,426
16,1,2607,255.092443421557,443.873801304181,143.587285160769,52.8030409435288,0.929927953139124,48.3274416226505,5906,2607,57.6136745323935,0.441415509651202,0.20856,470.413,494.499566724113,351.204,173.651885986328,12,108.781799316406,270,425
17,1,2453,255.037097431716,445.560538116592,133.983440750935,52.1652370327835,0.921093720809847,49.3534275399941,5340,2453,55.8861038473372,0.45936329588015,0.211174242424242,436.975,461.386868351904,347.332,173.72297668457,12,101.024436950684,269,431
18,1,2287,254.72715347617,444.923480542195,129.423973757095,45.0034356954644,0.937598045425301,48.2581472817355,4442,2287,53.9620129239942,0.514858171994597,0.250355774493706,383.955,404.516810666816,304.568,154.509765625,12,89.7107238769531,269,429
19,1,2344,256.828924914676,438.680887372014,132.930132585873,39.1362211390983,0.955678605311916,51.4491273136309,4141,2344,54.6303349143973,0.566046848587298,0.219475655430712,380.622,401.931024229189,317.395,159.409255981445,11.7046995162964,86.2965087890625,269,429
20,1,2658,257.767494356659,436.109480812641,145.609099602693,46.2341708686165,0.948250725194585,55.1808831123675,5120,2658,58.1744850420359,0.519140625,0.215851875913594,451.077,475.428498912247,345.91,175.995040893555,12.0415945053101,99.4680862426758,268,425
21,1,2524,258.04912836767,435.677892234548,152.900141888312,41.9176370708917,0.961686825824417,52.8442352183516,5817,2524,56.6891225096275,0.433900636066701,0.184908424908425,472.024,499.185858225128,360.904,174.965621948242,11.1803398132324,108.610229492188,269,429
