frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.000000000000000000e+00 1.000000000000000000e+00 2.750000000000000000e+02 4.080000000000000000e+02 1.419553706720727397e-04 4.358349829600972891e-02 1.789037487345372657e-02 9.383841714598649686e-01
2.000000000000000000e+00 1.000000000000000000e+00 2.750000000000000000e+02 4.070000000000000000e+02 1.313480510548028449e-03 6.406809666614588037e-04 1.602185427246404226e-01 8.378272957981500735e-01
3.000000000000000000e+00 1.000000000000000000e+00 2.780000000000000000e+02 4.020000000000000000e+02 8.722905994130726939e-03 7.216979960204641161e-04 1.205977354000368172e-02 9.784956224698447835e-01
4.000000000000000000e+00 1.000000000000000000e+00 2.750000000000000000e+02 4.010000000000000000e+02 3.967903615451226496e-01 2.183113900933619680e-04 2.470834123362599093e-04 6.027442436524479419e-01
5.000000000000000000e+00 1.000000000000000000e+00 2.730000000000000000e+02 4.030000000000000000e+02 1.598723824276188782e-03 7.664735489433188199e-03 4.646733376892050912e-06 9.907318939529138335e-01
6.000000000000000000e+00 1.000000000000000000e+00 2.720000000000000000e+02 4.050000000000000000e+02 1.042641741315248997e-02 3.169935971953410231e-02 3.678574914958093956e-05 9.578374371181640479e-01
7.000000000000000000e+00 1.000000000000000000e+00 2.710000000000000000e+02 4.060000000000000000e+02 7.191857973099691215e-02 4.615444520441876891e-03 2.198852181248842975e-04 9.232460905304361587e-01
8.000000000000000000e+00 1.000000000000000000e+00 2.690000000000000000e+02 4.040000000000000000e+02 3.679425571232687511e-03 5.018280354736468496e-01 3.566011008627353179e-03 4.909265279464933851e-01
9.000000000000000000e+00 1.000000000000000000e+00 2.720000000000000000e+02 4.060000000000000000e+02 3.696350818350212702e-05 2.796693375853520069e-01 1.104293188385957122e-03 7.191894057180782118e-01
1.000000000000000000e+01 1.000000000000000000e+00 2.720000000000000000e+02 4.070000000000000000e+02 3.727472225751706159e-05 3.723298841349406141e-01 1.333178631908085558e-04 6.274995232796111155e-01
1.100000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.140000000000000000e+02 5.357768649097888235e-04 2.944012176387927893e-01 7.294459632620582388e-06 7.050557110366646452e-01
1.200000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.310000000000000000e+02 1.443907380138617766e-03 8.695630489813357400e-01 6.250024441443027877e-05 1.289305433941112522e-01
1.300000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.290000000000000000e+02 1.779019274666060575e-12 9.999993442220783679e-01 4.174478951321930537e-07 2.383282475882536990e-07
1.400000000000000000e+01 1.000000000000000000e+00 2.710000000000000000e+02 4.280000000000000000e+02 2.957263783384034825e-13 9.999997194068802608e-01 1.852365057989927960e-07 9.535631822274811787e-08
1.500000000000000000e+01 1.000000000000000000e+00 2.710000000000000000e+02 4.260000000000000000e+02 2.751926722896086807e-12 9.999991848333165123e-01 7.229131080870130519e-07 9.225082343453114763e-08
1.600000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.250000000000000000e+02 1.900736454985917786e-12 9.999993828626394521e-01 5.280081952892652901e-07 8.912726451871333469e-08
1.700000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.310000000000000000e+02 4.191547231380401574e-14 9.999998352990695505e-01 6.782677519242981206e-08 9.687411350848431798e-08
1.800000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.290000000000000000e+02 1.604312585557632284e-13 9.999994745138937047e-01 9.993743506143747664e-08 4.255485109607410229e-07
1.900000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.290000000000000000e+02 1.764959128953902652e-10 9.999805560809597038e-01 3.015110400027682280e-07 1.914223150435437001e-05
2.000000000000000000e+01 1.000000000000000000e+00 2.680000000000000000e+02 4.250000000000000000e+02 1.261323193233015295e-12 9.999991736438816892e-01 7.263297689455624916e-07 1.000250880879586001e-07
2.100000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.290000000000000000e+02 1.461045310725377716e-10 9.999916181607293453e-01 8.281409531198726613e-06 1.002836349248977701e-07
2.200000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.240000000000000000e+02 5.473026948267528865e-09 9.999464743178654302e-01 5.341299768031977706e-05 1.072114273406380652e-07
2.300000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.260000000000000000e+02 9.127935254392463614e-12 9.999977206154997411e-01 2.178956697228292909e-06 1.004186753095663287e-07
2.400000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.260000000000000000e+02 7.596004124945429554e-10 9.999630403011572355e-01 9.345095343616032872e-08 3.686548828863694797e-05
2.500000000000000000e+01 1.000000000000000000e+00 2.710000000000000000e+02 4.260000000000000000e+02 2.103501995957660098e-14 9.999998454989061925e-01 4.064358048998115877e-08 1.138574922478150626e-07
2.600000000000000000e+01 1.000000000000000000e+00 2.720000000000000000e+02 4.230000000000000000e+02 7.490868136275805059e-14 9.999996396877525173e-01 3.894790087390296346e-08 3.213642717293652961e-07
2.700000000000000000e+01 1.000000000000000000e+00 2.740000000000000000e+02 4.250000000000000000e+02 1.022062307757897305e-05 9.954455334972106550e-01 1.738534293921295703e-05 4.526860536772518533e-03
2.800000000000000000e+01 1.000000000000000000e+00 2.760000000000000000e+02 4.180000000000000000e+02 1.352399372853175430e-05 9.275551468419992451e-01 1.633626642373713360e-04 7.226796650003490530e-02
2.900000000000000000e+01 1.000000000000000000e+00 2.740000000000000000e+02 4.150000000000000000e+02 4.518417042209915332e-08 9.996878998722027454e-01 9.264617163519304139e-07 3.111284819104122713e-04
3.000000000000000000e+01 1.000000000000000000e+00 2.730000000000000000e+02 4.120000000000000000e+02 1.660760307589643131e-14 9.999998663013671685e-01 3.363868827939948298e-08 1.000599281128420080e-07
3.100000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.160000000000000000e+02 1.656746074343989610e-14 9.999998666688654225e-01 3.333342262037947753e-08 9.999769532318299759e-08
3.200000000000000000e+01 1.000000000000000000e+00 2.710000000000000000e+02 4.150000000000000000e+02 3.670990729778739030e-12 9.999990391981379290e-01 8.607933327363124373e-07 1.000048583408236006e-07
3.300000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.150000000000000000e+02 1.650662304913776343e-14 9.999998666645005807e-01 3.333435598433438395e-08 1.000011269471686433e-07
3.400000000000000000e+01 1.000000000000000000e+00 2.670000000000000000e+02 4.110000000000000000e+02 2.326442807063331189e-02 1.076402292230122099e-01 3.595054359739543472e-04 8.687358372703803955e-01
3.500000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.090000000000000000e+02 3.337416297291003614e-02 7.798533571014537591e-01 1.081138822961988204e-03 1.856913411026740457e-01
3.600000000000000000e+01 1.000000000000000000e+00 2.670000000000000000e+02 4.120000000000000000e+02 3.465633550622688404e-14 9.999998308109959710e-01 6.918898055103926107e-08 9.999998860208478808e-08
3.700000000000000000e+01 1.000000000000000000e+00 2.670000000000000000e+02 4.150000000000000000e+02 3.459730856045058360e-13 9.999996396041398450e-01 2.603950038147975808e-07 1.000005102749327260e-07
3.800000000000000000e+01 1.000000000000000000e+00 2.660000000000000000e+02 4.130000000000000000e+02 9.556014907969089619e-14 9.999997692407632810e-01 1.307591029198853371e-07 1.000000383886956648e-07
3.900000000000000000e+01 1.000000000000000000e+00 2.680000000000000000e+02 4.170000000000000000e+02 6.402813307949113825e-11 9.999891526899540306e-01 5.338296693335468178e-08 1.079386305100976969e-05
4.000000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.190000000000000000e+02 1.657172867639909000e-14 9.999998665795973851e-01 3.341512791661030734e-08 1.000052578554481074e-07
4.100000000000000000e+01 1.000000000000000000e+00 2.690000000000000000e+02 4.140000000000000000e+02 1.750863131050757958e-14 9.999998669002972962e-01 3.333513501148054600e-08 9.976455035592809086e-08
4.200000000000000000e+01 1.000000000000000000e+00 2.700000000000000000e+02 4.160000000000000000e+02 1.650838123192171883e-14 9.999998666451180851e-01 3.334251320694811848e-08 1.000123521964533065e-07
4.300000000000000000e+01 1.000000000000000000e+00 2.680000000000000000e+02 4.180000000000000000e+02 1.650283874376249338e-14 9.999998664921389002e-01 3.341243219598701976e-08 1.000954123576124891e-07
4.400000000000000000e+01 1.000000000000000000e+00 2.710000000000000000e+02 4.210000000000000000e+02 1.648452001725991994e-14 9.999998666664625668e-01 3.333344352141945040e-08 1.000000775001001868e-07
4.500000000000000000e+01 1.000000000000000000e+00 2.680000000000000000e+02 4.220000000000000000e+02 6.916694679801785534e-14 9.999997914627503093e-01 1.085361958001647010e-07 1.000009845948792904e-07
4.600000000000000000e+01 1.000000000000000000e+00 2.670000000000000000e+02 4.190000000000000000e+02 1.748626863850969913e-12 9.999993068077038805e-01 5.931877144610028687e-07 1.000028327686332568e-07
