Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
1,1,655,96.9648854961832,846.236641221374,37.5150879876526,23.0768969363381,0.788420689909304,-73.4739133793248,697,655,28.8785716717696,0.93974175035868,0.748571428571429,100.433,105.840620433566,96.174,38.213207244873,10,10.0710678100586,97,845
2,1,635,100.270866141732,851.615748031496,37.9923886388127,22.0782815408032,0.813815163527566,-75.3630186179103,690,635,28.4342594576829,0.920289855072464,0.678418803418803,95.976,100.911688245431,95.306,37.041633605957,8.9442720413208,17.1421337127686,101,850
3,1,636,106.64465408805,857.48427672956,37.1980407272399,22.2703168731797,0.800976367948368,-76.5538611667772,686,636,28.456639830654,0.927113702623907,0.669473684210526,97.489,103.497474683058,95.604,39.8994941711426,9.48683261871338,20.8994941711426,107,860
4,1,644,110.709627329193,854.343167701863,38.5882186764238,21.6894548049346,0.827086588452574,-56.6312407263492,685,644,28.6350531134385,0.94014598540146,0.672936259143156,98.3,102.911688245431,95.678,39.6984901428223,8.60232543945312,21.9705600738525,108,849
5,1,638,113.424764890282,858.025078369906,36.2230776316639,22.9418677043881,0.77386589594742,-66.7417515366921,689,638,28.5013478548127,0.925979680696662,0.663201663201663,102.898,108.325901807804,95.612,37.9705657958984,9.48683261871338,16.0710678100586,112,854
6,1,628,110.437898089172,849.452229299363,36.3057020383645,23.1259247646028,0.770882178475225,-59.5467181913552,677,628,28.2771008785144,0.927621861152142,0.61871921182266,97.151,102.225396744416,94.968,38.2132034301758,9.89949512481689,11.6568536758423,109,846
7,1,629,113.095389507154,852.340222575517,36.0881092271425,23.73762462463,0.753220077774524,-63.6484049588033,713,629,28.2996055385657,0.88218793828892,0.596774193548387,103.386,109.154328932551,98.151,40.3847808837891,9.05538558959961,11.0710678100586,112,848
8,1,653,115.494640122511,845.788667687596,32.0145706537217,28.1587420984861,0.475787618950106,-81.0179185584616,722,653,28.8344485418407,0.904432132963989,0.618371212121212,101.608,107.154328932551,98.59,38.213207244873,10.2956304550171,9.48528099060059,115,844
9,1,591,110.940778341794,848.292724196278,33.6756509504964,23.0546081785235,0.728911770279119,-55.2433690333049,642,591,27.4314522207353,0.920560747663551,0.635483870967742,93.71,98.0832611206852,90.932,33.9705619812012,9.21954441070557,9.48528099060059,109,845
10,1,633,114.785150078989,847.372827804107,32.4247125475682,26.4365033502649,0.57901119648381,-46.2519985931688,705,633,28.3894457821451,0.897872340425532,0.682112068965517,103.585,108.811183182043,95.182,36.8700561523438,9.84885787963867,15.6568546295166,113,846
11,1,605,109.262809917355,847.348760330579,34.014743375183,23.2456040833323,0.730046104453422,-48.8823108165814,655,605,27.7544577422218,0.923664122137405,0.630208333333333,95.356,100.568542494924,92.734,35.9705619812012,9.84885787963867,13.4852809906006,107,844
