frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.000000000000000000e+00 1.000000000000000000e+00 9.700000000000000000e+01 8.450000000000000000e+02 6.123980095015634471e-03 2.121656402007231082e-04 8.534468751568228262e-01 1.402169791079607986e-01
2.000000000000000000e+00 1.000000000000000000e+00 1.010000000000000000e+02 8.500000000000000000e+02 2.395895417815133849e-02 6.461889503855547737e-04 8.146883476442542404e-01 1.607065092272090823e-01
3.000000000000000000e+00 1.000000000000000000e+00 1.070000000000000000e+02 8.600000000000000000e+02 1.023630613675493434e-02 1.068761792829872441e-04 7.936575068317368586e-01 1.959993108522253835e-01
4.000000000000000000e+00 1.000000000000000000e+00 1.080000000000000000e+02 8.490000000000000000e+02 4.371978257952036789e-03 8.588114723567817144e-05 4.989301993497541887e-01 4.966119412450580861e-01
5.000000000000000000e+00 1.000000000000000000e+00 1.120000000000000000e+02 8.540000000000000000e+02 8.097839417580883839e-03 1.959009309004513600e-04 8.667849360638891776e-01 1.249213235876295014e-01
6.000000000000000000e+00 1.000000000000000000e+00 1.090000000000000000e+02 8.460000000000000000e+02 5.441198032437664055e-03 2.481990977820435501e-05 9.699944367691510916e-01 2.453954528863298151e-02
7.000000000000000000e+00 1.000000000000000000e+00 1.120000000000000000e+02 8.480000000000000000e+02 1.682907246872257859e-02 2.679782348128197838e-04 8.318919476960610071e-01 1.510110016004037048e-01
8.000000000000000000e+00 1.000000000000000000e+00 1.150000000000000000e+02 8.440000000000000000e+02 8.902207608025063112e-03 2.605662377452026940e-05 9.327590876985168977e-01 5.831264806968367020e-02
9.000000000000000000e+00 1.000000000000000000e+00 1.090000000000000000e+02 8.450000000000000000e+02 5.456931354876425055e-03 2.073906188775173805e-05 9.744837217095625448e-01 2.003860787367355012e-02
1.000000000000000000e+01 1.000000000000000000e+00 1.130000000000000000e+02 8.460000000000000000e+02 1.107664344753248389e-02 6.746210776822823233e-05 9.553046988732030176e-01 3.355119557149644632e-02
1.100000000000000000e+01 1.000000000000000000e+00 1.070000000000000000e+02 8.440000000000000000e+02 6.512418106051333366e-03 2.837387433483025894e-05 9.634193902350287608e-01 3.003981778458515717e-02
