Area,MjrAxisLength,MnrAxisLength,Eccentricity,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerim,FibLen,InscribeR,BlebLen,Class
399.6745,33.0202,20.3303,0.78799,635.2585,22.5584,0.62915,0.43691,139.2732,99.2515,47.8028,6.5626,19.5094,0
402.6893,33.6148,20.1705,0.79996,639.1347,22.6433,0.63005,0.41427,146.3838,100.2071,49.6123,6.6926,18.7405,0
401.3973,32.4147,20.8466,0.76576,646.4563,22.607,0.62092,0.40877,149.2937,98.4699,49.3405,6.5954,17.5406,0
401.3973,30.3366,22.3411,0.6765,651.1938,22.607,0.6164,0.39226,151.0197,96.7715,48.6376,7.0682,28.2001,0
399.6745,33.1214,20.2868,0.79047,635.6892,22.5584,0.62873,0.43466,150.6935,98.4811,50.2686,6.5626,27.206,0
400.9666,33.8311,19.9142,0.8084,645.5949,22.5948,0.62108,0.42222,154.1455,100.6953,50.5404,6.5626,25.3498,0
399.6745,34.5859,19.4013,0.82784,640.4267,22.5584,0.62408,0.44637,154.8785,100.234,51.0374,6.2259,26.1653,0
425.9462,31.0254,20.7722,0.74279,626.6449,23.288,0.67973,0.41468,122.4485,92.9954,41.6439,8.3529,16.6125,0
419.9167,33.734,18.8753,0.82881,631.8131,23.1226,0.66462,0.42614,140.8378,94.8769,43.069,7.2487,16.0688,0
425.9462,26.3943,24.4283,0.37871,633.9665,23.288,0.67188,0.44792,124.2507,91.4912,44.0437,8.9262,12.7875,0
424.2235,32.1525,20.0825,0.78094,646.0256,23.2409,0.65667,0.46462,139.4977,94.6977,44.2689,7.8752,18.3095,0
423.7928,31.6199,20.1447,0.77079,628.3676,23.2291,0.67443,0.5262,136.6862,95.289,44.3156,7.9025,31.031,0
424.2235,31.4977,20.4144,0.76153,639.1347,23.2409,0.66375,0.50229,136.5399,93.737,43.7253,7.8752,16.9969,0
425.9462,36.9035,17.4619,0.88097,629.6596,23.288,0.67647,0.38876,135.2851,99.2745,50.1093,7.0682,31.7999,0
334.2106,27.459,17.238,0.7784,441.4508,20.6284,0.75707,0.59601,92.6902,76.6406,35.3997,7.3373,19.7812,0
333.7799,26.8898,17.5428,0.75788,439.7281,20.6151,0.75906,0.60078,93.9981,76.5212,35.2871,7.3373,20.8686,0
